name;simulation-bidirect-runtime;simulation-bidirect-parsing;simulation-bidirect-reduction;simulation-bidirect-states;simulation-bidirect-transitions
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-rhs.mata;1.9; 0.765189; 1.1506; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-lhs.mata;1.95; 0.807792; 1.1585; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-rhs.mata;1.89; 0.77288; 1.1286; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-lhs.mata;1.97; 0.801911; 1.1675; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-rhs.mata;1.74; 0.707211; 1.0328; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-lhs.mata;1.9; 0.702; 1.2107; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-rhs.mata;1.5; 0.595501; 0.9221; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-lhs.mata;1.85; 0.691174; 1.1681; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-rhs.mata;1.46; 0.593405; 0.8739; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-lhs.mata;2.01; 0.736806; 1.2780; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-rhs.mata;1.84; 0.666725; 1.1589; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata;18.69; 7.18159; 11.5585; 8; 8
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;1.23; 0.372997; 0.8632; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata;18.73; 7.09804; 11.5931; 8; 8
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;1.69; 0.534939; 1.1603; 8; 8
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata;18.72; 7.08373; 11.5295; 8; 8
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;1.68; 0.534997; 1.1629; 8; 8
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-lhs.mata;2.32; 1.75864; 0.5537; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.24; 0.228243; 0.0155; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-lhs.mata;2.3; 1.76333; 0.5529; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.25; 0.229937; 0.0154; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T10-lhs.mata;0.0; 0.00118507; 0.0002; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T10-rhs.mata;0.11; 0.0901623; 0.0237; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T11-lhs.mata;5.54; 1.59602; 3.9222; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T11-rhs.mata;0.11; 0.090323; 0.0234; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T113-lhs.mata;0.0; 0.000547902; 0.0002; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T113-rhs.mata;0.11; 0.0899471; 0.0234; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T114-lhs.mata;0.16; 0.127554; 0.0327; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T114-rhs.mata;0.11; 0.0900075; 0.0237; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T116-lhs.mata;0.17; 0.140437; 0.0365; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T116-rhs.mata;0.11; 0.0901623; 0.0234; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-lhs.mata;0.24; 0.190984; 0.0548; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-rhs.mata;0.11; 0.0901364; 0.0234; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-lhs.mata;5.63; 1.61429; 4.0120; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-rhs.mata;0.11; 0.0900583; 0.0237; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-lhs.mata;0.25; 0.204449; 0.0523; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-rhs.mata;0.11; 0.0903526; 0.0234; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-lhs.mata;0.25; 0.191094; 0.0545; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-rhs.mata;0.11; 0.0906315; 0.0236; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-lhs.mata;0.29; 0.226013; 0.0585; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-rhs.mata;0.11; 0.0906613; 0.0234; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-lhs.mata;0.25; 0.192161; 0.0549; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-rhs.mata;0.11; 0.0907507; 0.0236; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-lhs.mata;0.0; 0.00250503; 0.0002; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-rhs.mata;0.11; 0.0915441; 0.0235; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-lhs.mata;0.32; 0.259623; 0.0678; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-rhs.mata;0.11; 0.0901611; 0.0235; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-lhs.mata;0.27; 0.225971; 0.0585; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-rhs.mata;0.11; 0.0912425; 0.0235; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-lhs.mata;0.31; 0.258716; 0.0652; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-rhs.mata;0.11; 0.0907082; 0.0236; 5; 5
