name;simulation-fixpoint-runtime;simulation-fixpoint-parsing;simulation-fixpoint-reduction;simulation-fixpoint-states;simulation-fixpoint-transitions
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-sat-comp1_nonempty_trivial_sat-aut1.mata;TO;TO;TO;TO;TO
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-comp1_inclusion_sat-aut1.mata;0.0; 0.000306551; 0.0004; 8; 7
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-comp1_inclusion_sat-aut2.mata;TO;TO;TO;TO;TO
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-demo_unsat-aut1.mata;0.0; 0.00168958; 0.0003; 1; 1
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-demo_unsat-aut2.mata;0.0; 0.00129996; 0.0004; 2; 3
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-demo_unsat-aut4.mata;0.0; 0.000885154; 0.0003; 2; 2
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-evil1_eq_sat-aut1.mata;0.0; 0.00460859; 0.0006; 2; 3
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-evil1_eq_sat-aut2.mata;0.0; 0.00520801; 0.0011; 21; 20
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-evil1_neq_unsat-aut1.mata;0.0; 0.00449125; 0.0006; 2; 3
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-evil1_neq_unsat-aut2.mata;0.0; 0.00511952; 0.0011; 21; 20
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-evil1_unsat-aut1.mata;0.0; 0.00449938; 0.0006; 2; 3
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-evil1_unsat-aut2.mata;0.0; 0.00524863; 0.0010; 21; 20
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-inter_mod2_unsat-aut1.mata;0.0; 0.000891294; 0.0003; 2; 2
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-inter_mod2_unsat-aut2.mata;0.0; 0.00114383; 0.0002; 1; 1
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-inter_mod3_unsat-aut1.mata;0.0; 0.00113359; 0.0003; 1; 1
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-inter_mod3_unsat-aut2.mata;0.0; 0.00138445; 0.0003; 3; 3
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-simple_neq_unsat-aut1.mata;0.0; 0.000688312; 0.0002; 1; 2
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-simple_neq_unsat-aut2.mata;0.0; 0.000903504; 0.0002; 2; 2
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-zelkova_fmcad18_example_explicit_inter_unsat-aut1.mata;0.0; 0.00243389; 0.0007; 3; 5
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-zelkova_fmcad18_example_explicit_inter_unsat-aut2.mata;0.0; 0.00203766; 0.0005; 4; 3
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-zelkova_fmcad18_example_explicit_inter_unsat-aut3.mata;0.0; 0.00011178; 0.0001; 1; 0
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-zelkova_fmcad18_example_explicit_inter_unsat-aut5.mata;0.0; 0.00204414; 0.0005; 4; 3
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-zelkova_fmcad18_example_explicit_inter_unsat-aut7.mata;0.0; 0.000165611; 0.0002; 1; 1
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-zelkova_fmcad18_example_implicit_inter_unsat-aut1.mata;0.0; 0.00229375; 0.0007; 3; 5
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-zelkova_fmcad18_example_implicit_inter_unsat-aut2.mata;0.0; 0.00203326; 0.0005; 4; 3
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-contains_month_weekday_sat-aut1.mata;0.01; 0.0151675; 0.0016; 5; 8
