name;brzozowski-runtime;brzozowski-parsing;brzozowski-reduction;brzozowski-states;brzozowski-transitions
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-lhs.mata;0.18; 0.185259; 0.0043; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-rhs.mata;0.08; 0.0869919; 0.0024; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-lhs.mata;1.64; 1.61579; 0.0451; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-rhs.mata;0.08; 0.0871406; 0.0023; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-lhs.mata;0.19; 0.197091; 0.0043; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-rhs.mata;0.09; 0.0880825; 0.0023; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-lhs.mata;0.19; 0.185738; 0.0043; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-rhs.mata;0.09; 0.0868371; 0.0025; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-lhs.mata;0.22; 0.217208; 0.0048; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-rhs.mata;0.09; 0.087203; 0.0023; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-lhs.mata;0.19; 0.187243; 0.0043; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-rhs.mata;0.08; 0.0870819; 0.0023; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-lhs.mata;0.0; 0.00241444; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-rhs.mata;0.08; 0.0872219; 0.0023; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-lhs.mata;0.26; 0.247689; 0.0056; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-rhs.mata;0.08; 0.0868941; 0.0024; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-lhs.mata;0.22; 0.216829; 0.0048; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-rhs.mata;0.09; 0.0870619; 0.0024; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-lhs.mata;0.24; 0.251776; 0.0056; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-rhs.mata;0.08; 0.0874229; 0.0024; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-lhs.mata;0.27; 0.254706; 0.0056; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-rhs.mata;0.09; 0.0882609; 0.0024; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-lhs.mata;0.25; 0.249408; 0.0055; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-rhs.mata;0.09; 0.0874308; 0.0023; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-lhs.mata;0.02; 0.0254845; 0.0007; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-rhs.mata;0.08; 0.0867058; 0.0023; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-lhs.mata;0.24; 0.249849; 0.0055; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-rhs.mata;0.08; 0.0868974; 0.0024; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-lhs.mata;0.0; 0.00116431; 0.0001; 4; 4
