name;residual-runtime;residual-parsing;residual-reduction;residual-states;residual-transitions
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-rhs.mata;0.09; 0.0876576; 0.0025; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-lhs.mata;0.22; 0.2183; 0.0051; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-rhs.mata;0.08; 0.0874481; 0.0025; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-lhs.mata;0.19; 0.184644; 0.0046; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-rhs.mata;0.08; 0.0872676; 0.0026; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-lhs.mata;0.0; 0.00243716; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-rhs.mata;0.09; 0.0875428; 0.0025; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-lhs.mata;0.25; 0.249755; 0.0058; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-rhs.mata;0.08; 0.0872893; 0.0025; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-lhs.mata;0.22; 0.217711; 0.0051; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-rhs.mata;0.09; 0.0880063; 0.0025; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-lhs.mata;0.25; 0.251709; 0.0061; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-rhs.mata;0.09; 0.0870809; 0.0025; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-lhs.mata;0.25; 0.250543; 0.0058; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-rhs.mata;0.09; 0.0873029; 0.0025; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-lhs.mata;0.25; 0.249384; 0.0058; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-rhs.mata;0.09; 0.0872389; 0.0025; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-lhs.mata;0.02; 0.0254148; 0.0008; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-rhs.mata;0.09; 0.0871981; 0.0026; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-lhs.mata;0.25; 0.250971; 0.0058; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-rhs.mata;0.09; 0.0874535; 0.0025; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-lhs.mata;0.0; 0.00117338; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-rhs.mata;0.09; 0.0872539; 0.0025; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-lhs.mata;0.0; 0.00139696; 0.0002; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-rhs.mata;0.09; 0.0872223; 0.0025; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-lhs.mata;0.68; 0.657886; 0.0230; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-rhs.mata;0.08; 0.0875038; 0.0025; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-lhs.mata;0.69; 0.659771; 0.0282; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-rhs.mata;0.09; 0.0871678; 0.0025; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-lhs.mata;0.07; 0.0690477; 0.0019; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-rhs.mata;0.09; 0.087295; 0.0025; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-lhs.mata;0.09; 0.0851039; 0.0025; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-rhs.mata;0.09; 0.0873079; 0.0026; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-lhs.mata;1.63; 1.58231; 0.0436; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-rhs.mata;0.0; 0.00119925; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-lhs.mata;1.63; 1.5746; 0.0433; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-rhs.mata;0.02; 0.0253307; 0.0009; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-lhs.mata;1.59; 1.56225; 0.0436; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-rhs.mata;0.08; 0.0872204; 0.0025; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-lhs.mata;1.6; 1.56901; 0.0432; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-rhs.mata;0.02; 0.025485; 0.0009; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-lhs.mata;1.64; 1.5938; 0.0442; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-rhs.mata;0.0; 0.000543331; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-lhs.mata;1.63; 1.57543; 0.0435; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-rhs.mata;0.09; 0.0869226; 0.0025; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-lhs.mata;1.61; 1.56738; 0.0434; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-rhs.mata;0.09; 0.0875047; 0.0025; 5; 5
