name;simulation-runtime;simulation-parsing;simulation-reduction;simulation-states;simulation-transitions
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-rhs.mata;0.1; 0.0890231; 0.0128; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-lhs.mata;0.29; 0.266746; 0.0357; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-rhs.mata;0.1; 0.0894083; 0.0125; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-lhs.mata;0.28; 0.253866; 0.0361; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-rhs.mata;0.1; 0.0890091; 0.0127; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-lhs.mata;0.28; 0.255067; 0.0358; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-rhs.mata;0.1; 0.0893602; 0.0127; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-lhs.mata;0.02; 0.0257981; 0.0018; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-rhs.mata;0.1; 0.0896479; 0.0126; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-lhs.mata;0.29; 0.255444; 0.0359; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-rhs.mata;0.1; 0.0886802; 0.0125; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-lhs.mata;0.0; 0.00137751; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-rhs.mata;0.09; 0.0885262; 0.0126; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-lhs.mata;0.0; 0.00140883; 0.0002; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-rhs.mata;0.09; 0.0894025; 0.0127; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-lhs.mata;1.29; 0.66698; 0.6037; 18; 20
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-rhs.mata;0.09; 0.0887106; 0.0127; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-lhs.mata;1.27; 0.667922; 0.6002; 19; 21
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-rhs.mata;0.1; 0.0884138; 0.0127; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-lhs.mata;0.07; 0.0700916; 0.0086; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-rhs.mata;0.1; 0.0891585; 0.0127; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-lhs.mata;0.09; 0.0869097; 0.0124; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-rhs.mata;0.1; 0.0890166; 0.0126; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-lhs.mata;3.48; 1.59215; 1.9148; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-rhs.mata;0.0; 0.00118379; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-lhs.mata;3.52; 1.61363; 1.9124; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-rhs.mata;0.03; 0.0259536; 0.0020; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-lhs.mata;3.51; 1.57564; 1.9188; 75; 113
