name;hopcroft-runtime;hopcroft-parsing;hopcroft-reduction;hopcroft-states;hopcroft-transitions
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-lhs.mata;0.65; 0.653355; 0.0163; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-rhs.mata;0.09; 0.087028; 0.0014; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-lhs.mata;0.66; 0.653193; 0.0163; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-rhs.mata;0.08; 0.0869107; 0.0014; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-lhs.mata;0.07; 0.068715; 0.0010; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-rhs.mata;0.09; 0.0872383; 0.0014; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-lhs.mata;0.07; 0.084307; 0.0013; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-rhs.mata;0.08; 0.0866391; 0.0014; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-lhs.mata;1.62; 1.58222; 0.0534; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-rhs.mata;0.0; 0.00117439; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-lhs.mata;1.58; 1.54903; 0.0532; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-rhs.mata;0.02; 0.0251511; 0.0003; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-lhs.mata;1.59; 1.55484; 0.0529; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-rhs.mata;0.08; 0.0866743; 0.0013; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-lhs.mata;1.61; 1.5515; 0.0530; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-rhs.mata;0.02; 0.0253589; 0.0003; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-lhs.mata;1.62; 1.55288; 0.0529; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-rhs.mata;0.0; 0.000553072; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-lhs.mata;1.61; 1.54968; 0.0529; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-rhs.mata;0.09; 0.0863324; 0.0013; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-lhs.mata;1.6; 1.56338; 0.0528; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-rhs.mata;0.08; 0.0867702; 0.0013; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-lhs.mata;1.6; 1.55161; 0.0529; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-rhs.mata;0.09; 0.0863164; 0.0013; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-lhs.mata;1.62; 1.55044; 0.0529; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-rhs.mata;0.0; 0.00242782; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-lhs.mata;1.59; 1.54954; 0.0533; 5; 5
