name;simulation-fixpoint-runtime;simulation-fixpoint-parsing;simulation-fixpoint-reduction;simulation-fixpoint-states;simulation-fixpoint-transitions
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-rhs.mata;1.64; 0.667134; 0.9859; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-lhs.mata;1.86; 0.750843; 1.1179; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-rhs.mata;1.83; 0.730737; 1.0996; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-lhs.mata;1.86; 0.750344; 1.1160; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-rhs.mata;1.82; 0.724703; 1.0875; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-lhs.mata;1.86; 0.754442; 1.1166; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-rhs.mata;1.67; 0.675596; 0.9963; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-lhs.mata;1.82; 0.655788; 1.1604; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-rhs.mata;1.39; 0.561866; 0.8334; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-lhs.mata;1.77; 0.658604; 1.1161; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-rhs.mata;1.38; 0.559181; 0.8361; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-lhs.mata;1.92; 0.690905; 1.2200; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-rhs.mata;1.68; 0.627986; 1.0589; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata;17.99; 6.64865; 11.2216; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;1.21; 0.357992; 0.8363; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata;17.95; 6.64759; 11.2008; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;1.63; 0.501729; 1.1177; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata;18.04; 6.73558; 11.2370; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;1.61; 0.502172; 1.1173; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-lhs.mata;2.17; 1.66036; 0.5333; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.23; 0.216291; 0.0152; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-lhs.mata;2.19; 1.66385; 0.5278; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.23; 0.215308; 0.0156; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T10-lhs.mata;0.0; 0.00113476; 0.0004; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T10-rhs.mata;0.09; 0.0855196; 0.0236; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T11-lhs.mata;5.27; 1.51788; 3.7464; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T11-rhs.mata;0.1; 0.0852158; 0.0236; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T113-lhs.mata;0.0; 0.000541522; 0.0004; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T113-rhs.mata;0.11; 0.0878458; 0.0272; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T114-lhs.mata;0.15; 0.120603; 0.0327; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T114-rhs.mata;0.1; 0.0854434; 0.0232; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T116-lhs.mata;0.16; 0.13214; 0.0356; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T116-rhs.mata;0.1; 0.0850441; 0.0236; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-lhs.mata;0.22; 0.179982; 0.0534; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-rhs.mata;0.1; 0.0854123; 0.0234; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-lhs.mata;5.31; 1.52237; 3.7932; 5; 6
